link,abbreviation,firstYearOfPlay,franchiseId,active,season,clinchIndicator,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
/api/v1/teams/22,EDM,1979,25,True,20122013,0.0,48.0,19.0,22.0,7.0,45.0,46.9,2.563,2.729,0.9011,20.1,34.0,29.0,169.0,83.4,26.7708,32.75,0.5,0.292,0.688,0.75,0.727,0.314,2747.0,1267.0,1480.0,46.1,9.6,0.917
/api/v1/teams/23,VAN,1970,20,True,20122013,1.0,48.0,26.0,15.0,7.0,59.0,61.5,2.542,2.396,1.0244,15.8,26.0,27.0,165.0,84.0,28.125,28.9375,0.645,0.353,0.714,0.783,0.5,0.556,2868.0,1365.0,1503.0,47.6,9.0,0.917
/api/v1/teams/24,ANA,1993,32,True,20122013,1.0,48.0,30.0,12.0,6.0,66.0,68.8,2.792,2.396,1.2778,21.5,29.0,30.0,135.0,81.5,28.0625,27.9167,0.75,0.5,0.8,0.895,0.615,0.667,2907.0,1382.0,1525.0,47.5,9.9,0.914
/api/v1/teams/25,DAL,1993,15,True,20122013,0.0,48.0,22.0,22.0,4.0,48.0,50.0,2.667,2.938,1.0109,17.0,29.0,34.0,171.0,81.0,26.2708,31.0208,0.696,0.24,0.737,0.706,0.5,0.441,2875.0,1356.0,1519.0,47.2,10.2,0.905
/api/v1/teams/26,LAK,1967,14,True,20122013,1.0,48.0,27.0,16.0,5.0,59.0,61.5,2.729,2.375,1.0864,19.9,33.0,27.0,166.0,83.2,29.8125,24.9583,0.808,0.273,0.938,0.864,0.576,0.533,2826.0,1470.0,1356.0,52.0,9.2,0.905
/api/v1/teams/27,PHX,1996,28,False,20122013,0.0,48.0,21.0,18.0,9.0,51.0,53.1,2.521,2.604,1.061,14.8,25.0,34.0,169.0,79.9,30.875,30.5625,0.737,0.241,0.813,0.938,0.478,0.391,2849.0,1482.0,1367.0,52.0,8.2,0.915
/api/v1/teams/28,SJS,1991,29,True,20122013,1.0,48.0,25.0,16.0,7.0,57.0,59.4,2.417,2.333,1.0,20.1,34.0,22.0,169.0,85.0,31.7917,28.9583,0.8,0.217,0.824,0.833,0.571,0.438,3010.0,1607.0,1403.0,53.4,7.6,0.919
/api/v1/teams/29,CBJ,2000,36,True,20122013,0.0,48.0,24.0,17.0,7.0,55.0,57.3,2.396,2.396,1.037,14.2,22.0,25.0,155.0,82.6,26.7292,29.9167,0.6,0.429,0.727,1.0,0.538,0.484,2802.0,1457.0,1345.0,52.0,9.0,0.92
/api/v1/teams/30,MIN,2000,37,True,20122013,1.0,48.0,26.0,19.0,3.0,55.0,57.3,2.458,2.604,0.8817,17.9,27.0,26.0,151.0,80.7,28.7917,27.0625,0.783,0.32,0.75,0.9,0.577,0.471,2835.0,1487.0,1348.0,52.5,8.5,0.904
/api/v1/teams/52,WPG,2011,35,True,20122013,0.0,48.0,24.0,21.0,3.0,51.0,53.1,2.625,2.938,0.9029,13.8,20.0,28.0,145.0,79.7,28.9375,29.6667,0.696,0.32,0.833,0.9,0.6,0.423,2746.0,1344.0,1402.0,48.9,9.1,0.901
/api/v1/teams/1,NJD,1982,23,True,20132014,0.0,82.0,35.0,29.0,18.0,88.0,53.7,2.402,2.378,0.9275,19.5,47.0,36.0,241.0,86.4,26.8171,25.4756,0.682,0.132,0.667,0.759,0.467,0.364,4624.0,2174.0,2450.0,47.0,9.0,0.907
/api/v1/teams/2,NYI,1972,22,True,20132014,0.0,82.0,34.0,37.0,11.0,79.0,48.2,2.634,3.183,0.8343,17.8,49.0,58.0,276.0,78.1,30.939,30.0488,0.5,0.354,0.556,0.556,0.375,0.432,4896.0,2310.0,2586.0,47.2,8.5,0.894
/api/v1/teams/3,NYR,1926,10,True,20132014,1.0,82.0,45.0,31.0,6.0,96.0,58.5,2.61,2.317,1.0677,18.2,48.0,34.0,264.0,85.3,33.1585,29.4146,0.816,0.318,0.769,0.903,0.537,0.591,4909.0,2397.0,2512.0,48.8,7.9,0.921
/api/v1/teams/4,PHI,1967,16,True,20132014,1.0,82.0,42.0,30.0,10.0,94.0,57.3,2.841,2.768,0.9618,19.7,58.0,48.0,294.0,84.8,30.3659,30.5854,0.744,0.302,0.75,0.829,0.564,0.476,5011.0,2504.0,2507.0,50.0,9.4,0.909
/api/v1/teams/5,PIT,1967,17,True,20132014,1.0,82.0,51.0,24.0,7.0,109.0,66.5,2.951,2.488,1.0467,23.4,65.0,38.0,278.0,85.0,29.9268,28.7683,0.841,0.368,0.893,0.861,0.614,0.629,4796.0,2445.0,2351.0,51.0,9.9,0.914
/api/v1/teams/6,BOS,1924,6,True,20132014,1.0,82.0,54.0,19.0,9.0,117.0,71.3,3.146,2.085,1.5299,21.7,50.0,43.0,230.0,83.7,31.8659,29.0854,0.837,0.394,0.793,0.911,0.609,0.733,4995.0,2577.0,2418.0,51.6,9.9,0.928
/api/v1/teams/7,BUF,1970,19,True,20132014,0.0,82.0,21.0,51.0,10.0,52.0,31.7,1.829,2.963,0.5893,14.1,36.0,51.0,256.0,81.4,26.2927,34.3415,0.29,0.235,0.333,0.667,0.214,0.231,4926.0,2305.0,2621.0,46.8,7.0,0.914
/api/v1/teams/8,MTL,1917,1,True,20132014,1.0,82.0,46.0,28.0,8.0,100.0,61.0,2.549,2.451,0.9855,17.2,48.0,43.0,279.0,85.1,28.4146,30.9878,0.822,0.243,0.821,0.921,0.607,0.52,5108.0,2532.0,2576.0,49.6,9.0,0.921
/api/v1/teams/9,OTT,1992,30,True,20132014,0.0,82.0,37.0,31.0,14.0,88.0,53.7,2.793,3.146,0.9474,18.4,50.0,61.0,271.0,80.9,32.8293,34.7439,0.65,0.262,0.607,0.774,0.387,0.5,5189.0,2659.0,2530.0,51.2,8.5,0.909
/api/v1/teams/10,TOR,1926,5,True,20132014,0.0,82.0,38.0,36.0,8.0,84.0,51.2,2.707,3.073,0.9217,19.8,50.0,58.0,252.0,78.4,27.9268,35.9146,0.675,0.262,0.737,0.897,0.533,0.462,5334.0,2574.0,2760.0,48.3,9.7,0.914
/api/v1/teams/12,CAR,1997,26,True,20132014,0.0,82.0,36.0,35.0,11.0,83.0,50.6,2.5,2.756,0.8903,14.6,41.0,44.0,281.0,81.7,31.2317,30.939,0.719,0.26,0.8,0.815,0.474,0.39,5042.0,2652.0,2390.0,52.6,8.0,0.911
/api/v1/teams/13,FLA,1993,33,True,20132014,0.0,82.0,29.0,45.0,8.0,66.0,40.2,2.293,3.195,0.8258,10.0,27.0,63.0,269.0,76.0,29.8902,31.1098,0.567,0.231,0.75,0.938,0.389,0.318,4931.0,2380.0,2551.0,48.3,7.7,0.897
/api/v1/teams/14,TBL,1992,31,True,20132014,1.0,82.0,46.0,27.0,9.0,101.0,61.6,2.829,2.549,1.1556,18.5,50.0,52.0,270.0,80.7,29.8293,29.2317,0.738,0.375,0.72,0.848,0.578,0.588,4862.0,2394.0,2468.0,49.2,9.5,0.913
/api/v1/teams/15,WSH,1974,24,True,20132014,0.0,82.0,38.0,30.0,14.0,90.0,54.9,2.744,2.793,0.8968,23.4,68.0,51.0,291.0,82.0,29.4146,33.5366,0.667,0.25,0.64,0.857,0.5,0.431,5032.0,2436.0,2596.0,48.4,9.3,0.917
/api/v1/teams/16,CHI,1926,11,True,20132014,1.0,82.0,46.0,21.0,15.0,107.0,65.2,3.183,2.585,1.2703,19.5,50.0,46.0,257.0,81.5,33.1098,27.1829,0.791,0.308,0.852,0.868,0.552,0.583,4873.0,2533.0,2340.0,52.0,9.6,0.905
/api/v1/teams/17,DET,1932,12,True,20132014,1.0,82.0,39.0,28.0,15.0,93.0,56.7,2.646,2.695,1.0333,17.7,50.0,50.0,282.0,83.0,29.9512,29.2805,0.585,0.366,0.667,0.714,0.5,0.444,4900.0,2487.0,2413.0,50.8,8.8,0.908
/api/v1/teams/18,NSH,1998,34,True,20132014,0.0,82.0,38.0,32.0,12.0,88.0,53.7,2.61,2.841,0.8807,19.2,46.0,47.0,239.0,80.2,29.0488,28.9024,0.75,0.239,0.885,0.857,0.421,0.538,4873.0,2586.0,2287.0,53.1,9.0,0.902
/api/v1/teams/19,STL,1967,18,True,20132014,1.0,82.0,52.0,23.0,7.0,111.0,67.7,2.915,2.293,1.2248,19.8,56.0,42.0,283.0,85.7,29.2927,26.378,0.837,0.333,0.848,0.892,0.617,0.697,4890.0,2536.0,2354.0,51.9,10.0,0.913
/api/v1/teams/20,CGY,1980,21,True,20132014,0.0,82.0,35.0,40.0,7.0,77.0,47.0,2.463,2.902,0.7989,15.7,39.0,43.0,249.0,81.7,26.8171,28.5976,0.697,0.245,0.75,0.786,0.324,0.535,4872.0,2253.0,2619.0,46.2,9.2,0.899
/api/v1/teams/21,COL,1995,27,True,20132014,1.0,82.0,52.0,22.0,8.0,112.0,68.3,2.988,2.634,1.1176,19.8,50.0,48.0,252.0,80.7,29.5122,32.6585,0.822,0.405,0.818,0.921,0.5,0.761,4907.0,2428.0,2479.0,49.5,10.1,0.919
/api/v1/teams/22,EDM,1979,25,True,20132014,0.0,82.0,29.0,44.0,9.0,67.0,40.9,2.427,3.256,0.7104,17.0,46.0,50.0,271.0,82.1,26.9268,32.878,0.486,0.255,0.714,0.789,0.417,0.321,4886.0,2395.0,2491.0,49.0,9.0,0.901
/api/v1/teams/23,VAN,1970,20,True,20132014,0.0,82.0,36.0,35.0,11.0,83.0,50.6,2.329,2.634,0.9267,15.2,39.0,46.0,257.0,83.2,30.8171,28.378,0.553,0.341,0.652,0.75,0.4,0.472,4933.0,2534.0,2399.0,51.4,7.6,0.907
/api/v1/teams/24,ANA,1993,32,True,20132014,1.0,82.0,54.0,20.0,8.0,116.0,70.7,3.207,2.476,1.3913,16.0,44.0,48.0,275.0,82.2,31.3293,28.6951,0.738,0.575,0.813,0.93,0.633,0.759,5266.0,2591.0,2675.0,49.2,10.2,0.914
/api/v1/teams/25,DAL,1993,15,True,20132014,1.0,82.0,40.0,31.0,11.0,91.0,55.5,2.817,2.72,1.0392,15.9,46.0,49.0,290.0,81.4,31.6707,30.3902,0.651,0.308,0.767,0.879,0.5,0.452,5127.0,2568.0,2559.0,50.1,8.9,0.911
/api/v1/teams/26,LAK,1967,14,True,20132014,1.0,82.0,46.0,28.0,8.0,100.0,61.0,2.415,2.049,1.2762,15.1,43.0,50.0,284.0,83.1,31.6463,26.2073,0.692,0.333,0.767,0.9,0.528,0.68,4870.0,2569.0,2301.0,52.8,7.6,0.922
